model,probe_split,snapshot_label,snapshot_epoch,direction,alpha,loss,loss_delta,base_loss,grad_norm,direction_l2_norm,delta_norm,weight_norm,relative_perturbation_norm
VGG-A,train_dev,epoch30,30,d_grad,-0.002,0.4972161650657654,0.28400851786136627,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.11019871383905411,55.099365234375,0.00199999969818716
VGG-A,train_dev,epoch30,30,d_grad,-0.001,0.3458632826805115,0.13265563547611237,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.055099356919527054,55.099365234375,0.00099999984909358
VGG-A,train_dev,epoch30,30,d_grad,0.0,0.21321037411689758,2.726912498474121e-06,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.0,55.099365234375,0.0
VGG-A,train_dev,epoch30,30,d_grad,0.001,0.14379249513149261,-0.0694151520729065,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.055099356919527054,55.099365234375,0.00099999984909358
VGG-A,train_dev,epoch30,30,d_grad,0.002,0.13839928805828094,-0.07480835914611816,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.11019871383905411,55.099365234375,0.00199999969818716
VGG-A,train_dev,epoch30,30,d_grad,0.005,0.3086264431476593,0.09541879594326019,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.27549681067466736,55.099365234375,0.004999999718740723
VGG-A,train_dev,epoch30,30,d_grad,0.01,1.3157621622085571,1.102554515004158,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.5509936213493347,55.099365234375,0.009999999437481446
VGG-A,train_dev,epoch30,30,d_random,-0.01,0.2135050892829895,0.00029744207859039307,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.5509936809539795,55.099365234375,0.010000000519247897
VGG-A,train_dev,epoch30,30,d_random,-0.005,0.21336333453655243,0.0001556873321533203,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.27549684047698975,55.099365234375,0.005000000259623948
VGG-A,train_dev,epoch30,30,d_random,-0.002,0.21328113973140717,7.349252700805664e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.1101987287402153,55.099365234375,0.001999999968628773
VGG-A,train_dev,epoch30,30,d_random,-0.001,0.21326987445354462,6.222724914550781e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.05509936437010765,55.099365234375,0.0009999999843143864
VGG-A,train_dev,epoch30,30,d_random,0.0,0.2132117748260498,4.127621650695801e-06,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.0,55.099365234375,0.0
VGG-A,train_dev,epoch30,30,d_random,0.001,0.21318122744560242,-2.6419758796691895e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.05509936437010765,55.099365234375,0.0009999999843143864
VGG-A,train_dev,epoch30,30,d_random,0.002,0.21314409375190735,-6.355345249176025e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.1101987287402153,55.099365234375,0.001999999968628773
VGG-A,train_dev,epoch30,30,d_random,0.005,0.21303308010101318,-0.0001745671033859253,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.27549684047698975,55.099365234375,0.005000000259623948
VGG-A,train_dev,epoch30,30,d_random,0.01,0.21289679408073425,-0.00031085312366485596,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.5509936809539795,55.099365234375,0.010000000519247897
VGG-A,train_dev,best-val,50,d_grad,-0.01,1.8652234077453613,1.7950608283281326,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A,train_dev,best-val,50,d_grad,-0.005,0.7031794786453247,0.633016899228096,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_grad,-0.002,0.286573201417923,0.21641062200069427,0.0701625794172287,1.5196115970611572,1.0,0.10646792501211166,53.23396301269531,0.0019999999809655546
VGG-A,train_dev,best-val,50,d_grad,-0.001,0.17448431253433228,0.10432173311710358,0.0701625794172287,1.5196115970611572,1.0,0.05323396250605583,53.23396301269531,0.0009999999904827773
VGG-A,train_dev,best-val,50,d_grad,0.0,0.0701596662402153,-2.913177013397217e-06,0.0701625794172287,1.5196115970611572,1.0,0.0,53.23396301269531,0.0
VGG-A,train_dev,best-val,50,d_grad,0.001,0.03366449475288391,-0.03649808466434479,0.0701625794172287,1.5196115970611572,1.0,0.05323396250605583,53.23396301269531,0.0009999999904827773
VGG-A,train_dev,best-val,50,d_grad,0.002,0.03475797176361084,-0.03540460765361786,0.0701625794172287,1.5196115970611572,1.0,0.10646792501211166,53.23396301269531,0.0019999999809655546
VGG-A,train_dev,best-val,50,d_grad,0.005,0.1680009514093399,0.0978383719921112,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_grad,0.01,1.0842094421386719,1.0140468627214432,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A,train_dev,best-val,50,d_random,-0.01,0.0707886815071106,0.000626102089881897,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A,train_dev,best-val,50,d_random,-0.005,0.07048390060663223,0.00032132118940353394,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_random,-0.002,0.07029101252555847,0.00012843310832977295,0.0701625794172287,1.5196115970611572,1.0,0.10646793246269226,53.23396301269531,0.0020000001209247117
VGG-A,train_dev,best-val,50,d_random,-0.001,0.07022525370121002,6.267428398132324e-05,0.0701625794172287,1.5196115970611572,1.0,0.05323396623134613,53.23396301269531,0.0010000000604623558
VGG-A,train_dev,best-val,50,d_random,0.0,0.07016193866729736,-6.407499313354492e-07,0.0701625794172287,1.5196115970611572,1.0,0.0,53.23396301269531,0.0
VGG-A,train_dev,best-val,50,d_random,0.001,0.0701245591044426,-3.8020312786102295e-05,0.0701625794172287,1.5196115970611572,1.0,0.05323396623134613,53.23396301269531,0.0010000000604623558
VGG-A,train_dev,best-val,50,d_random,0.002,0.07005442678928375,-0.00010815262794494629,0.0701625794172287,1.5196115970611572,1.0,0.10646793246269226,53.23396301269531,0.0020000001209247117
VGG-A,train_dev,best-val,50,d_random,0.005,0.06987864524126053,-0.00028393417596817017,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_random,0.01,0.06962355971336365,-0.0005390197038650513,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.01,13.920844078063965,11.379246234893799,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
